,ParentAirline,Airline,AircraftType,Current,Future,Historic,Total,Orders,UnitCost,TotalCost(Current),AverageAge,Region
1396,Thai Airways,Thai Airways,Airbus A350 XWB,2.0,1.0,,3.0,10.0,$312,$624,0.3, Asia
1397,Thai Airways,Thai Airways,Airbus A380,6.0,,,6.0,,$433,"$2,596",4.2, Asia
1398,Thai Airways,Nok Air,ATR 42/72,2.0,,2.0,4.0,,$22,$44,9.5, Asia
1399,Thai Airways,Thai Airways,ATR 42/72,,,4.0,4.0,,$22,$0,, Asia
1400,Thai Airways,Thai Airways,Boeing 737,2.0,,12.0,14.0,,$74,$148,24.0, Asia
1401,Thai Airways,Nok Air,Boeing 737,23.0,,16.0,39.0,11.0,$74,"$1,702",7.7, Asia
1402,Thai Airways,Thai Airways,Boeing 747,10.0,,16.0,26.0,,$316,"$3,158",17.8, Asia
1403,Thai Airways,Thai Airways,Boeing 777,32.0,,9.0,41.0,,$295,"$9,426",10.1, Asia
1404,Thai Airways,Thai Airways,Boeing 787 Dreamliner,6.0,,,6.0,2.0,$265,"$1,591",2.0, Asia
1405,Thai Airways,Thai Airways,British Aerospace BAe 146/Avro RJ,,,11.0,11.0,,$14,$0,, Asia
1406,Thai Airways,Nok Air,De Havilland Canada DHC-8 Dash 8,8.0,,,8.0,,$31,$250,1.6, Asia
1407,Thai Airways,Thai Airways,McDonnell Douglas DC-10,,,9.0,9.0,,$145,$0,, Asia
1408,Thai Airways,Thai Airways,McDonnell Douglas DC-8,,,15.0,15.0,,$6,$0,, Asia
1409,Thai Airways,Thai Airways,McDonnell Douglas DC-9,,,2.0,2.0,,$45,$0,, Asia
1410,Thai Airways,Thai Airways,McDonnell Douglas MD-11,,,4.0,4.0,,$175,$0,, Asia
1411,Thomas Cook Airlines,Condor,Airbus A300,,,9.0,9.0,,$75,$0,, Europe
1412,Thomas Cook Airlines,Condor,Airbus A310,,,5.0,5.0,,$75,$0,, Europe
1413,Thomas Cook Airlines,Condor,Airbus A319,,,1.0,1.0,,$90,$0,, Europe
1414,Thomas Cook Airlines,Condor,Airbus A320,9.0,,5.0,14.0,,$98,$882,17.8, Europe
1415,Thomas Cook Airlines,Condor,Airbus A321,7.0,,1.0,8.0,,$115,$804,4.0, Europe
1416,Thomas Cook Airlines,Condor,Boeing 727,,,1.0,1.0,,$4,$0,, Europe
1417,Thomas Cook Airlines,Condor,Boeing 737,,,17.0,17.0,,$74,$0,, Europe
1418,Thomas Cook Airlines,Condor,Boeing 747,,,4.0,4.0,,$316,$0,, Europe
1419,Thomas Cook Airlines,Condor,Boeing 757,13.0,,20.0,33.0,,$73,$943,17.5, Europe
1420,Thomas Cook Airlines,Condor,Boeing 767,16.0,,5.0,21.0,,$187,"$2,990",21.3, Europe
1421,Thomas Cook Airlines,Condor,McDonnell Douglas DC-10,,,5.0,5.0,,$145,$0,, Europe
1422,Thomas Cook Airlines,Condor,McDonnell Douglas DC-8,,,1.0,1.0,,$6,$0,, Europe
1423,Thomas Cook Airlines,Thomas Cook Airlines Belgium,Airbus A319,,,1.0,1.0,,$90,$0,, Europe
1424,Thomas Cook Airlines,Thomas Cook Airlines Belgium,Airbus A320,5.0,,15.0,20.0,,$98,$490,14.7, Europe
1425,Thomas Cook Airlines,Thomas Cook Airlines,Airbus A320,,,30.0,30.0,,$98,$0,, Europe
1426,Thomas Cook Airlines,Thomas Cook Airlines Scandinavia,Airbus A320,,,2.0,2.0,,$98,$0,, Europe
1427,Thomas Cook Airlines,Thomas Cook Airlines,Airbus A321,21.0,,2.0,23.0,,$115,"$2,413",6.9, Europe
1428,Thomas Cook Airlines,Thomas Cook Airlines Scandinavia,Airbus A321,8.0,,4.0,12.0,,$115,$919,5.0, Europe
1429,Thomas Cook Airlines,Thomas Cook Airlines,Airbus A330,7.0,1.0,4.0,12.0,,$240,"$1,680",12.5, Europe
1430,Thomas Cook Airlines,Thomas Cook Airlines Scandinavia,Airbus A330,4.0,,,4.0,,$240,$960,16.6, Europe
1431,Thomas Cook Airlines,Thomas Cook Airlines,Boeing 757,2.0,3.0,21.0,26.0,3.0,$73,$145,15.7, Europe
1432,Thomas Cook Airlines,Thomas Cook Airlines Belgium,Boeing 757,,,1.0,1.0,,$73,$0,, Europe
1433,Thomas Cook Airlines,Thomas Cook Airlines,Boeing 767,3.0,,,3.0,,$187,$561,21.8, Europe
1434,Tianjin Airlines,Tianjin Airlines,Airbus A320,23.0,4.0,,27.0,,$98,"$2,254",3.7, Asia
1435,Tianjin Airlines,GX Airlines,Airbus A320,3.0,,,3.0,,$98,$294,2.5, Asia
1436,Tianjin Airlines,Tianjin Airlines,Airbus A330,1.0,3.0,,4.0,4.0,$240,$240,8.8, Asia
1437,Tianjin Airlines,Tianjin Airlines,Dornier Do-328,,,26.0,26.0,,$8,$0,, Asia
1438,Tianjin Airlines,Tianjin Airlines,Embraer ERJ-145,19.0,,6.0,25.0,,$20,$372,8.7, Asia
1439,Tianjin Airlines,Tianjin Airlines,Embraer ERJ-190,48.0,,10.0,58.0,20.0,$46,"$2,218",5.6, Asia
1440,Tianjin Airlines,GX Airlines,Embraer ERJ-190,10.0,,,10.0,,$46,$462,6.1, Asia
1441,Trans States Airlines,Trans States Airlines,ATR 42/72,,,12.0,12.0,,$22,$0,, North America
1442,Trans States Airlines,Trans States Airlines,British Aerospace Jetstream 41,,,11.0,11.0,,$7,$0,, North America
1443,Trans States Airlines,Compass Airlines,Canadair CRJ-100 Series,,,1.0,1.0,,$32,$0,, North America
1444,Trans States Airlines,GoJet Airlines,Canadair CRJ-700,46.0,,1.0,47.0,,$41,"$1,886",11.4, North America
1445,Trans States Airlines,GoJet Airlines,Canadair CRJ-900,7.0,,,7.0,,$46,$322,8.5, North America
1446,Trans States Airlines,Trans States Airlines,Embraer EMB-120 Brasilia,,,1.0,1.0,,$11,$0,, North America
1447,Trans States Airlines,Trans States Airlines,Embraer ERJ-145,55.0,,43.0,98.0,,$20,"$1,078",15.2, North America
1448,Trans States Airlines,Compass Airlines,Embraer ERJ-170,62.0,,,62.0,,$39,"$2,399",6.4, North America
1449,Trans States Airlines,Trans States Airlines,Mitsubishi MRJ90,,,,,20.0,$47,$0,, North America
1450,TUI Group,Thomson Airways,Airbus A320,,,5.0,5.0,,$98,$0,, Europe
1451,TUI Group,Thomson Airways,Airbus A321,,,2.0,2.0,,$115,$0,, Europe
1452,TUI Group,Thomson Airways,Boeing 737,33.0,,13.0,46.0,,$74,"$2,441",5.8, Europe
1453,TUI Group,TUI Airlines Netherlands,Boeing 737,5.0,,5.0,10.0,,$74,$370,7.9, Europe
1454,TUI Group,TUI Airlines Belgium,Boeing 737,20.0,,,20.0,1.0,$74,"$1,480",7.3, Europe
1455,TUI Group,TUIfly,Boeing 737,30.0,,53.0,83.0,,$74,"$2,219",8.2, Europe
1456,TUI Group,TUIfly Nordic,Boeing 737,6.0,,2.0,8.0,,$74,$444,7.2, Europe
1457,TUI Group,Thomson Airways,Boeing 757,14.0,,17.0,31.0,,$73,"$1,015",16.4, Europe
1458,TUI Group,TUIfly Nordic,Boeing 757,,,4.0,4.0,,$73,$0,, Europe
1459,TUI Group,Thomson Airways,Boeing 767,3.0,,10.0,13.0,,$187,$561,18.2, Europe
1460,TUI Group,TUI Airlines Netherlands,Boeing 767,1.0,,,1.0,,$187,$187,16.9, Europe
1461,TUI Group,TUI Airlines Belgium,Boeing 767,1.0,,,1.0,,$187,$187,16.9, Europe
1462,TUI Group,TUIfly,Boeing 767,1.0,,2.0,3.0,,$187,$187,18.6, Europe
1463,TUI Group,TUIfly Nordic,Boeing 767,1.0,,1.0,2.0,,$187,$187,17.8, Europe
1464,TUI Group,Thomson Airways,Boeing 787 Dreamliner,10.0,1.0,,11.0,3.0,$265,"$2,651",2.5, Europe
1465,TUI Group,TUI Airlines Netherlands,Boeing 787 Dreamliner,3.0,,,3.0,,$265,$795,2.1, Europe
1466,TUI Group,TUI Airlines Belgium,Boeing 787 Dreamliner,1.0,,,1.0,,$265,$265,3.1, Europe
1467,TUI Group,TUI Airlines Belgium,Embraer ERJ-190,3.0,,,3.0,1.0,$46,$139,3.1, Europe
1468,Tunisair,Tunisair,Airbus A300,,,7.0,7.0,,$75,$0,, Africa
1469,Tunisair,Tunisair,Airbus A310,,,2.0,2.0,,$75,$0,, Africa
1470,Tunisair,Tunisair,Airbus A319,4.0,,,4.0,,$90,$358,15.5, Africa
1471,Tunisair,Tunisair,Airbus A320,17.0,,3.0,20.0,4.0,$98,"$1,666",15.7, Africa
1472,Tunisair,Tunisair,Airbus A330,2.0,,,2.0,,$240,$480,1.7, Africa
1473,Tunisair,Tunisair Express,ATR 42/72,3.0,,1.0,4.0,,$22,$66,14.2, Africa
1474,Tunisair,Tunisair,Boeing 727,,,1.0,1.0,,$4,$0,, Africa
1475,Tunisair,Tunisair,Boeing 737,7.0,,25.0,32.0,,$74,$518,16.9, Africa
1476,Tunisair,Tunisair,Boeing 747,,,1.0,1.0,,$316,$0,, Africa
1477,Tunisair,Tunisair Express,Canadair CRJ-900,1.0,,,1.0,,$46,$46,10.2, Africa
1478,Tunisair,Tunisair,McDonnell Douglas DC-10,,,2.0,2.0,,$145,$0,, Africa
1479,Tunisair,Tunisair,McDonnell Douglas DC-8,,,2.0,2.0,,$6,$0,, Africa
1480,Tunisair,Tunisair,McDonnell Douglas MD-90,,,1.0,1.0,,$45,$0,, Africa
1481,Turkish Airlines,Turkish Airlines,Airbus A300,,,2.0,2.0,,$75,$0,, Europe
1482,Turkish Airlines,Turkish Airlines,Airbus A310,,,19.0,19.0,,$75,$0,, Europe
1483,Turkish Airlines,Turkish Airlines,Airbus A319,14.0,,,14.0,,$90,"$1,254",8.7, Europe
1484,Turkish Airlines,Turkish Airlines,Airbus A320,29.0,,17.0,46.0,,$98,"$2,842",9.7, Europe
1485,Turkish Airlines,Anadolujet (100%),Airbus A320,,,10.0,10.0,,$98,$0,, Europe
1486,Turkish Airlines,Turkish Airlines,Airbus A321,66.0,2.0,7.0,75.0,94.0,$115,"$7,583",4.6, Europe
1487,Turkish Airlines,Turkish Airlines,Airbus A330,58.0,8.0,6.0,72.0,8.0,$240,"$13,920",5.3, Europe
1488,Turkish Airlines,Turkish Airlines,Airbus A340,4.0,,5.0,9.0,,$216,$862,18.6, Europe
1489,Turkish Airlines,Anadolujet (100%),ATR 42/72,,,2.0,2.0,,$22,$0,, Europe
1490,Turkish Airlines,Turkish Airlines,Boeing 737,92.0,,50.0,142.0,75.0,$74,"$6,806",6.4, Europe
1491,Turkish Airlines,Anadolujet (100%),Boeing 737,34.0,,36.0,70.0,,$74,"$2,515",13.0, Europe
1492,Turkish Airlines,Turkish Airlines,Boeing 777,32.0,1.0,6.0,39.0,2.0,$295,"$9,426",3.2, Europe
1493,Turkish Airlines,Turkish Airlines,British Aerospace BAe 146/Avro RJ,,,14.0,14.0,,$14,$0,, Europe
1494,Turkish Airlines,Anadolujet (100%),Embraer ERJ-190,,,6.0,6.0,,$46,$0,, Europe
1495,Turkish Airlines,Turkish Airlines,McDonnell Douglas DC-10,,,4.0,4.0,,$145,$0,, Europe
1496,Turkish Airlines,Turkish Airlines,McDonnell Douglas DC-9,,,11.0,11.0,,$45,$0,, Europe
1497,Turkish Airlines,Turkish Airlines,McDonnell Douglas MD-80,,,3.0,3.0,,$45,$0,, Europe
1498,Turkish Airlines,Turkish Airlines,McDonnell Douglas MD-90,,,2.0,2.0,,$45,$0,, Europe
1499,United Airlines,United Airlines,Airbus A319,59.0,20.0,,80.0,3.0,$90,"$5,286",16.5, North America
1500,United Airlines,United Airlines,Airbus A320,97.0,,1.0,98.0,,$98,"$9,506",18.6, North America
1501,United Airlines,United Airlines,Airbus A350,,,,35.0,,$312,$0,, North America
1502,United Airlines,United Airlines,Boeing 727,,,3.0,3.0,,$4,$0,, North America
1503,United Airlines,United Airlines,Boeing 737,321.0,2.0,295.0,620.0,103.0,$74,"$23,748",10.1, North America
1504,United Airlines,United Airlines,Boeing 747,21.0,,67.0,88.0,,$316,"$6,632",21.2, North America
1505,United Airlines,United Airlines,Boeing 757,77.0,,83.0,160.0,,$73,"$5,583",18.9, North America
1506,United Airlines,United Airlines,Boeing 767,51.0,,31.0,82.0,,$187,"$9,532",19.5, North America
1507,United Airlines,United Airlines,Boeing 777,74.0,14.0,8.0,96.0,14.0,$295,"$21,797",17.5, North America
1508,United Airlines,United Airlines,Boeing 787 Dreamliner,30.0,2.0,,32.0,29.0,$265,"$7,953",2.2, North America
1509,United Airlines,United Airlines,Embraer E175,,,,,24.0,$39,$0,, North America
1510,United Airlines,United Airlines,McDonnell Douglas DC-10,,,59.0,59.0,,$145,$0,, North America
1511,United Airlines,United Airlines,McDonnell Douglas DC-8,,,117.0,117.0,,$6,$0,, North America
1512,UPS Airlines,UPS,Airbus A300,52.0,,1.0,53.0,,$75,"$3,900",13.9, North America
1513,UPS Airlines,UPS,Boeing 747,13.0,,27.0,40.0,14.0,$316,"$4,105",15.0, North America
1514,UPS Airlines,UPS,Boeing 757,75.0,,,75.0,,$73,"$5,438",23.3, North America
1515,UPS Airlines,UPS,Boeing 767,59.0,,,59.0,,$187,"$11,027",12.8, North America
1516,UPS Airlines,UPS,McDonnell Douglas DC-8,,,53.0,53.0,,$6,$0,, North America
1517,UPS Airlines,UPS,McDonnell Douglas MD-11,37.0,,1.0,38.0,,$175,"$6,475",23.2, North America
1518,Utair,Utair,Airbus A321,,,12.0,12.0,,$115,$0,, Europe
1519,Utair,UTair-Cargo,Antonov An-2,11.0,,,,,$2,$17,, Europe
1520,Utair,Vostok Aviation Company,Antonov An-28,5.0,,,,,$3,$15,, Europe
1521,Utair,Vostok Aviation Company,Antonov An-38,3.0,,,,,$2,$5,, Europe
1522,Utair,UTair-Cargo,Antonov An-74-200,6.0,,,,,$19,$111,, Europe
1523,Utair,Utair,ATR 42/72,15.0,,15.0,30.0,,$22,$332,5.3, Europe
1524,Utair,Utair,Boeing 737,47.0,,8.0,55.0,,$74,"$3,477",18.1, Europe
1525,Utair,Utair,Boeing 757,,,9.0,9.0,,$73,$0,, Europe
1526,Utair,Utair,Boeing 767,3.0,,6.0,9.0,,$187,$561,15.5, Europe
1527,Utair,Utair,Canadair CRJ-100 Series,,,15.0,15.0,,$32,$0,, Europe
1528,Utair,Vostok Aviation Company,Mil Mi-8MTV-1,9.0,,,,,,$0,, Europe
1529,Utair,Vostok Aviation Company,Mil Mi-8T,6.0,,,,,,$0,, Europe
1530,Utair,Utair,Tupolev Tu-134,,,1.0,1.0,,$16,$0,, Europe
1531,Utair,Utair,Tupolev Tu-154,,,2.0,2.0,,$16,$0,, Europe
1532,Vietnam Airlines,Vietnam Airlines,Airbus A300,,,2.0,2.0,,$75,$0,, Asia
1533,Vietnam Airlines,Vietnam Airlines,Airbus A310,,,2.0,2.0,,$75,$0,, Asia
1534,Vietnam Airlines,Cambodia Angkor Air,Airbus A320,1.0,1.0,,2.0,1.0,$98,$98,0.1, Asia
1535,Vietnam Airlines,Jetstar Pacific Airlines,Airbus A320,13.0,1.0,4.0,18.0,10.0,$98,"$1,274",7.0, Asia
1536,Vietnam Airlines,Vietnam Airlines,Airbus A320,,,19.0,19.0,,$98,$0,, Asia
1537,Vietnam Airlines,Vietnam Airlines,Airbus A321,56.0,,5.0,61.0,12.0,$115,"$6,434",5.8, Asia
1538,Vietnam Airlines,Cambodia Angkor Air,Airbus A321,2.0,,4.0,6.0,,$115,$230,7.9, Asia
1539,Vietnam Airlines,Jetstar Pacific Airlines,Airbus A321,,,2.0,2.0,,$115,$0,, Asia
1540,Vietnam Airlines,Vietnam Airlines,Airbus A330,8.0,,5.0,13.0,,$240,"$1,920",9.6, Asia
1541,Vietnam Airlines,Vietnam Airlines,Airbus A350 XWB,5.0,2.0,,7.0,19.0,$312,"$1,560",1.1, Asia
1542,Vietnam Airlines,Cambodia Angkor Air,ATR 42/72,3.0,,2.0,5.0,,$22,$66,7.0, Asia
1543,Vietnam Airlines,Vietnam Air Service Company,ATR 42/72,4.0,,1.0,5.0,,$22,$88,11.0, Asia
1544,Vietnam Airlines,Vietnam Airlines,ATR 42/72,,,24.0,24.0,,$22,$0,, Asia
1545,Vietnam Airlines,Vietnam Airlines,Boeing 737,,,5.0,5.0,,$74,$0,, Asia
1546,Vietnam Airlines,Jetstar Pacific Airlines,Boeing 737,,,5.0,5.0,,$74,$0,, Asia
1547,Vietnam Airlines,Vietnam Airlines,Boeing 767,,,17.0,17.0,,$187,$0,, Asia
1548,Vietnam Airlines,Vietnam Airlines,Boeing 777,4.0,,6.0,10.0,,$295,"$1,178",12.8, Asia
1549,Vietnam Airlines,Vietnam Airlines,Boeing 787 Dreamliner,10.0,1.0,,11.0,9.0,$265,"$2,651",0.9, Asia
1550,Vietnam Airlines,Vietnam Airlines,Fokker F70 / F100,,,2.0,2.0,,$20,$0,, Asia
1551,Virgin America,Virgin America,Airbus A319,10.0,,,10.0,,$90,$896,9.2, North America
1552,Virgin America,Virgin America,Airbus A320,53.0,,,53.0,30.0,$98,"$5,194",6.3, North America
1553,Virgin America,Virgin America,Airbus A321,,,,,10.0,$115,$0,, North America
1554,Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A320,,,6.0,6.0,,$98,$0,, Europe
1555,Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A321,,,1.0,1.0,,$115,$0,, Europe
1556,Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A330,10.0,,,10.0,,$240,"$2,400",5.1, Europe
1557,Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A340,8.0,,21.0,29.0,,$216,"$1,724",10.5, Europe
1558,Virgin Atlantic Airways,Virgin Atlantic Airways,Boeing 747,8.0,,22.0,30.0,,$316,"$2,526",17.1, Europe
1559,Virgin Atlantic Airways,Virgin Atlantic Airways,Boeing 767,,,1.0,1.0,,$187,$0,, Europe
1560,Virgin Atlantic Airways,Virgin Atlantic Airways,Boeing 787 Dreamliner,13.0,4.0,,17.0,,$265,"$3,446",1.3, Europe
1561,Virgin Australia,Virgin Australia Regional,Airbus A320,2.0,,,2.0,,$98,$196,18.8, Oceania
1562,Virgin Australia,Tigerair Australia,Airbus A320,14.0,,,14.0,,$98,"$1,372",7.2, Oceania
1563,Virgin Australia,Virgin Australia,Airbus A330,6.0,,2.0,8.0,,$240,"$1,440",3.9, Oceania
1564,Virgin Australia,Virgin Australia,ATR 42/72,14.0,,,14.0,,$22,$309,4.4, Oceania
1565,Virgin Australia,Virgin Australia Regional,ATR 42/72,,,14.0,14.0,,$22,$0,, Oceania
1566,Virgin Australia,Virgin Australia,Boeing 737,75.0,,26.0,101.0,40.0,$74,"$5,549",6.7, Oceania
1567,Virgin Australia,Virgin Samoa,Boeing 737,1.0,,1.0,2.0,,$74,$74,5.1, Oceania
1568,Virgin Australia,Tigerair Australia,Boeing 737,3.0,1.0,,4.0,,$74,$222,12.5, Oceania
1569,Virgin Australia,Virgin Australia,Boeing 777,5.0,,,5.0,,$295,"$1,473",7.4, Oceania
1570,Virgin Australia,Virgin Australia,Embraer ERJ-170,,,4.0,4.0,,$39,$0,, Oceania
1571,Virgin Australia,Virgin Australia,Embraer ERJ-190,13.0,,5.0,18.0,,$46,$601,7.6, Oceania
1572,Virgin Australia,Virgin Australia Regional,Fokker F50 / F60,,,8.0,8.0,,$18,$0,, Oceania
1573,Virgin Australia,Virgin Australia Regional,Fokker F70 / F100,14.0,,,14.0,,$20,$280,24.6, Oceania
1574,Volaris,Volaris,Airbus A319,15.0,,9.0,24.0,,$90,"$1,344",9.7, North America
1575,Volaris,Volaris,Airbus A320,44.0,3.0,1.0,48.0,42.0,$98,"$4,312",3.3, North America
1576,Volaris,Volaris,Airbus A321,9.0,1.0,,10.0,,$115,"$1,034",0.6, North America
1577,WestJet,WestJet,Boeing 737,114.0,1.0,40.0,155.0,,$74,"$8,434",8.3, North America
1578,WestJet,WestJet,Boeing 757,,,1.0,1.0,,$73,$0,, North America
1579,WestJet,WestJet,Boeing 767,4.0,,,4.0,,$187,$748,24.5, North America
1580,WestJet,WestJet Encore,De Havilland Canada DHC-8 Dash 8,33.0,,,33.0,9.0,$31,"$1,033",2.0, North America
1581,Wizz Air,Wizz Air,Airbus A320,63.0,,9.0,72.0,8.0,$98,"$6,174",5.1, Europe
1582,Wizz Air,Wizz Air,Airbus A321,11.0,4.0,,15.0,129.0,$115,"$1,264",0.6, Europe
